SID,SName,Price,isActive,active,BillGroupID,sid_old
148," 	Equipment2",500.00,1,1,0,148
64,"1st Trimaster Screening",1800.00,1,1,90,64
105,"a-CGH : Extra per embryo",15000.00,0,1,3,105
69,"a-CGH Extra per embryo",15000.00,0,1,0,69
28,acupuncture,1500.00,0,1,NULL,28
29,Acupuncture,5000.00,1,1,90,29
176,"Add NGS",50000.00,1,1,0,176
33,"agency fee",2000.00,0,1,NULL,33
95,"Alpha thalasemia",2000.00,0,1,0,95
58,Aminocentesis,15000.00,1,1,90,58
138,"Amniotic DNA",30000.00,1,1,0,138
82,"Amniotic fluid CGH",35000.00,1,1,3,82
78,"Anibody Screening",3000.00,0,1,90,78
184,"Aspirate cyst",35000.00,1,1,0,184
168,"Aspiration needle",2500.00,1,1,0,168
163,"Biood Group Rh",500.00,1,1,0,163
162,"Blood Group ABO",500.00,1,1,0,162
107,"Blood Screening (Dr.V)",4000.00,0,1,0,107
1,"Blood screening +TVS for ED,SM Package",4000.00,0,1,NULL,1
2,"Blood screening Male, Female",3500.00,0,1,NULL,2
84,"Blood screening+Sperm Freeze",8000.00,0,1,0,84
57,"Blood Test",14000.00,1,1,3,57
152,CA-12-5,2000.00,0,1,0,152
153,CA-19-9,2000.00,0,1,0,153
186,"Charge D1",10000.00,1,1,0,186
115,"Clamydia cuture",2000.00,1,1,0,115
145,cotton,30.00,0,1,5,145
62,Cyst,1500.00,1,1,3,62
26,D&C,16500.00,0,1,NULL,26
40,D&C,16500.00,1,1,0,40
149,"Deposit ",100000.00,0,1,0,149
83,"Deposit for IVF",85000.00,0,1,0,83
3,DF,500.00,0,3,NULL,3
12,df,2000.00,0,3,NULL,12
15,DF,1000.00,0,3,NULL,15
89,DF,5000.00,0,3,0,89
155,DF,10000.00,1,3,0,155
19,"DF 1000",1000.00,1,1,2,19
20,"DF 1500",1500.00,1,1,2,20
21,"DF 2000",2000.00,1,1,2,21
44,"DF 2500",2500.00,1,1,1,44
166,"DF 25000",25000.00,1,1,0,166
42,"DF 300",300.00,1,3,1,42
52,"DF 300",300.00,0,3,2,52
22,"DF 3000",3000.00,1,1,2,22
174,"DF 4000",4000.00,1,1,0,174
18,"DF 500",500.00,1,1,2,18
23,"DF 5000",5000.00,1,1,2,23
43,"DF 800",800.00,1,3,1,43
48,"DF Anesthesia",5000.00,1,1,2,48
49,"DF Biopsy",5000.00,1,1,2,49
50,"DF D&C",5000.00,1,1,2,50
47,"DF ET",5000.00,1,1,2,47
51,"DF IUI",4000.00,1,1,2,51
46,"DF OPU",15000.00,1,1,2,46
103,"DF Stimulation",5000.00,0,1,2,103
104,"DF Stimulation",5000.00,0,1,2,104
151,DF3500,3500.00,1,1,2,151
67,Discount,-50000.00,0,1,99,67
124,"Dr.Fee Precaution",25000.00,1,1,0,124
71,"E2 (Extra package)",500.00,0,1,3,71
38,"ED Blood screening Package",4000.00,0,1,0,38
65,"Egg Donor Expense",120000.00,0,1,0,65
136,"Egg washing for precaution",20000.00,1,1,0,136
86,"Embryo storage fee",4500.00,0,1,0,86
94,"Embryo Storage fee",16800.00,0,1,4,94
81,"Embryo/sperm transport from another or to another center",6000.00,1,1,0,81
