"opera_group_id";"opera_group_code";"opera_group_name";"active";"remark";"status_or_opera_req";"status_or_us"
226000000;"CAT";"CATCH  LAB";"1";"";"1";"1"
226000001;"CVT";"CARDIO VASCULAR THERACIC SURGERY";"1";"";"1";"1"
226000002;"DEN";"DENTAL";"1";"";"1";"1"
226000003;"ENT";"E.N.T.";"1";"";"1";"1"
226000004;"GEN";"GENERAL SURGERY";"1";"";"1";"1"
226000005;"GIT";"GASTRO";"1";"";"1";"1"
226000006;"MED";"MED";"1";"";"1";"1"
226000007;"NEU";"NUEROLOGY SURGURY";"1";"";"1";"1"
226000008;"OBG";"OBSTETRIC + GYNECOLOGY";"1";"";"1";"1"
226000009;"OPT";"OPTHALMOLOGY";"1";"";"1";"1"
226000010;"ORT";"ORTHOPEDIC SURGERY";"1";"";"1";"1"
226000011;"PED";"PEDIATRIC SURGERY";"1";"";"1";"1"
226000012;"PLA";"PLASTIC / MICRO SURGERY";"1";"";"1";"1"
226000013;"URO";"UROLOGY SURGERY";"1";"";"1";"1"
